,work_id,genre_id
0,0,0
1,0,1
2,0,2
3,0,3
4,1,4
5,1,5
6,1,6
7,1,2
8,1,3
9,2,7
10,2,8
11,2,9
12,3,7
13,3,5
14,3,10
15,4,4
16,4,7
17,4,5
18,4,6
19,4,8
20,5,4
21,5,5
22,6,7
23,6,2
24,6,3
25,7,0
26,7,8
27,8,11
28,8,7
29,8,8
30,9,0
31,9,4
32,9,1
33,9,7
34,9,5
35,10,0
36,10,7
37,10,8
38,11,6
39,11,3
40,11,9
41,12,7
42,12,3
43,13,0
44,13,5
45,13,3
46,14,0
47,14,1
48,14,8
49,15,0
50,15,7
51,15,5
52,15,6
53,16,7
54,16,12
55,16,6
56,16,9
57,17,0
58,17,4
59,17,5
60,18,4
61,18,5
62,18,6
63,18,2
64,18,3
65,19,7
66,19,13
67,19,2
68,20,7
69,20,5
70,20,2
71,21,0
72,21,5
73,21,3
74,22,0
75,22,4
76,23,1
77,23,7
78,23,14
79,24,0
80,24,7
81,24,6
82,24,13
83,24,3
84,24,9
85,25,0
86,25,1
87,25,8
88,26,1
89,26,7
90,26,14
91,27,0
92,27,4
93,27,1
94,27,7
95,27,5
96,28,0
97,28,1
98,28,7
99,28,8
100,29,1
101,29,7
102,29,14
103,30,7
104,30,5
105,30,9
106,31,0
107,31,7
108,31,8
109,32,1
110,32,6
111,32,13
112,32,3
113,33,7
114,33,13
115,34,0
116,34,7
117,34,8
118,35,0
119,36,0
120,36,7
121,36,13
122,37,1
123,37,13
124,38,1
125,38,2
126,39,0
127,39,1
128,39,8
129,39,3
130,40,0
131,40,6
132,40,3
133,41,0
134,41,7
135,41,8
136,42,1
137,42,7
138,42,13
139,42,2
140,42,3
141,43,3
142,44,0
143,44,3
144,45,7
145,45,2
146,45,3
147,46,0
148,46,5
149,46,3
150,47,0
151,47,7
152,47,5
153,47,6
154,48,6
155,49,0
156,49,6
157,49,8
158,50,0
159,50,1
160,50,8
161,51,0
162,51,1
163,51,8
164,52,4
165,52,7
166,52,5
167,52,13
168,53,0
169,53,1
170,53,8
171,54,1
172,54,7
173,54,14
174,55,0
175,55,4
176,55,7
177,56,7
178,56,5
179,56,2
180,57,1
181,57,6
182,57,3
183,58,0
184,58,4
185,58,5
186,59,7
187,59,14
188,60,5
189,60,2
190,61,0
191,61,1
192,61,8
193,62,1
194,62,6
195,62,13
196,62,8
197,62,3
198,63,0
199,63,4
200,63,1
201,63,8
202,64,7
203,65,7
204,65,13
205,65,3
206,66,4
207,66,7
208,66,3
209,67,0
210,67,1
211,67,8
212,68,1
213,68,7
214,68,14
215,69,0
216,69,7
217,69,5
218,69,6
219,70,4
220,70,5
221,70,6
222,70,2
223,70,3
224,71,0
225,71,7
226,71,3
227,72,4
228,72,5
229,72,6
230,72,2
231,72,3
232,73,0
233,73,1
234,73,8
235,74,4
236,74,7
237,74,5
238,74,6
239,74,8
240,75,1
241,75,7
242,75,14
243,76,7
244,76,2
245,76,3
246,77,7
247,78,0
248,78,6
249,78,3
250,79,7
251,79,8
252,80,0
253,80,3
254,81,1
255,81,7
256,81,14
257,82,7
258,83,7
259,83,2
260,83,3
261,84,1
262,84,7
263,84,13
264,84,2
265,84,3
266,85,0
267,85,7
268,85,5
269,85,6
270,86,1
271,86,7
272,86,2
273,87,4
274,87,5
275,87,6
276,87,2
277,87,3
278,88,4
279,88,1
280,88,7
281,89,7
282,89,2
283,90,7
284,90,2
285,90,3
286,91,1
287,91,7
288,91,13
289,91,2
290,91,3
291,92,0
292,92,4
293,92,1
294,92,7
295,92,8
296,93,0
297,93,7
298,93,2
299,93,14
300,94,1
301,94,7
302,94,13
303,95,12
304,95,6
305,95,8
306,95,9
307,96,1
308,96,6
309,96,13
310,97,0
311,97,1
312,97,8
313,98,7
314,98,13
315,98,3
